==========identifier start==========
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>

<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
<Decode Error>
（无）
新人
一年生
初学者
新手
菜鸟
猎人
钓手
斗士
狙击手
直剑
剑
巨剑
大剑
长枪
枪
大锤
锤
双刃
双剑
轻弩炮
轻型弩
重弩炮
重型弩
长刀
太刀
长弓
弓
铳枪
炮枪
号角
笛
斧
斩斧
长柄刀
棍
斧枪
盾斧
风格
公会
强袭
空战
武士道
召集中
新来的
打下手
勇者
大老爷
大小姐
骑士团
猎团
男人
女孩
俺
米依
独狼
爱
噗吱猪
外国人
紧张
心跳
单刷
结伴
三人行
团队
回复药
蜂蜜
赤
青
绿
期待
胆小
三流
攻击
防守
交叉
好评热卖！
秘密
隐匿
古代森林（白天）
古代森林（夜晚）
腐海
山林（白天）
山林（夜晚）
起始地
雪山（白天）
雪山（夜晚）
暴风雪
溪流（白天）
溪流（夜晚）
月下
旧沙漠
孤岛
沼泽
火山
遗迹平原
原生林
冰海
地底火山
禁入区域
塔之秘境
灵峰
熔岩岛
极圈
龙之坟场
擦肩
害怕独处
满身宠物
捉迷藏
雪童子
狛猪
高原偶像
不莱梅
牧歌
云羊鹿
拥抱
狞猛
野生
喵
养父母
猎喵
黑带
达人
斗技王
守护者
指引者
拯救者
负责人
杀手锏
最终兵器
霸者
贝鲁纳
古代森林
No.1
夫人
毛绒绒
可可特
山林
诞生
无名
巨人
波凯
雪山
巧克力
珠宝
感
结云
溪流
剑豪
战国
和风
独当一面
不死鸟
天赋异禀
神童
热血汉
突击队长
失去记忆
王立书士队
菇
甜心
综合格斗
佯攻队
战友
乐手
枪客
垂钓人
狂战士
佣兵
袭击
新娘
流浪
击坠王
武人
昆虫博士
振奋爆破手
战争
杀人蜂
主心骨
队长
王牌
极限突破
老将
游击
两断
旋律
巨炮
变形
回旋
乱舞
坚实
浪漫
流行
速射
团长
漂亮
乡愁
动力
无敌
基德
小子
服饰
幸运
挑战
团
女士
先生
新天地
治愈
月刊
工匠
领主
忍
自由
梦想
牵牛星
女忍
织女星
彷徨
铁
破坏者
武者
模特
旅人
斩击
羽翼
破碎
全能
武器
无名氏
粉丝
危机
女主角
超
自然
悸动
男孩
自称
小
前
轻松
尾
震动
居合斩
爆头
收藏家
协调
女王
爱好者
大富豪
名流
深度玩家
追求
千手观音
冥顽不灵
集中炮火
必杀
军事
翠
黑暗
协助
霉运
苗条
竟然
故事
破绽
原石
乱糟糟
物美价廉
冒险者
土地
完成
贤者
完美
国王
大爆炸
剑圣
兽王无尽
乾坤一掷
无差别级
机械制品
一击
赌
彩虹
稍微
贱笑脸
专用
队伍
大约
复活
极好
万岁
模仿
弟子
非卖品
金闪闪
美人
（暂定）
新鲜
最爱
软软
传奇
冠军
俊杰
明镜止水
饿龙转生
最强
一流
天地无双
漆黑
皇帝
机器人
婴儿
美丽
短
天下第一
愤怒
命
魔女
人
禁止
雪月花
名
长
勇猛果敢
极限状态
全年
美食家
女仆
实行
胆小鬼
怪物
师父
魁首
商务
现役
看板娘
实际
剧团
姬君
我的
头牌
后继者
名产
杀手
以心传心
不动
永远
服务
历史
最终
自产
兵士
弓兵
捉虫大王
农场主
本
时尚
怒吼老爹
大和抚子
强势妈妈
烤肉大师
悲剧
甜蜜
明天
老爹
军团
桃
节食
军
师尊
先祖
不足
草莓
可爱
99%
灵动
太太
教授
中奖
落选
狂热
胆怯
擅长
焦
野兽
自由人
弱鸡
虫子
寡默
换言之
宝藏
全自动
成分混合
开始
柔软
命运
超小
世纪末
封印
毕业
专门
见习
新
姐妹
体操
旧姓
我
行者
炼金术师
小偷
活捉
采掘王
搬运工
守卫者
工房试制品
老兵
探险队
小火车
小弟
随心所欲
熟练者
马卡龙
研究家
闪亮
粗糙
水陆两用
水灵
专家
受喜爱
机械化
新型
亲
香草
美女
大
突然
最大
渔夫
骑乘
最喜欢
拿手
散步
害羞
一见钟情
爱意
莫名
稀有
焦香
二流
南丁格尔
吉祥物
搭档
相似
受欢迎
迷你
男子
综合症
反对
俱乐部
掌上
船长
恋
特别
混血
LOVE
廉价
兆
终极
失望
人类
聪慧
捕猎
骑兵
花
右腕
男性
女性
怪兽
改
免费
统称
向导
探究者
恋爱
柠檬
头
面具
衣装
铠甲
腕甲
格挡
腰
护腰
脚
靴
装甲
刺客
大型
驱逐
过客
军刀
屠戮者
勇士
极品
24小时
自身
魂
纯血
老猎人（自称）
教官
豪杰
战士
强者
冒险家
边境
小姐
活泼
称霸6层
绿洲
守护神
乐园
同伴
猎手
白
黑
影
暗
终极黑暗长枪
翡翠
粉
红
深红
黄
七彩
跳狗龙
踢
跳蚤
团伙
蓝速龙
领队
青爪
老大
野猪
兽
獠牙
猪突
穿甲虫
攻击手
甲虫
紫电
青熊兽
山
蓝色
横纲
红盔
熊
鲜红
莫西干头
黄速龙
碧牙
治疗
策士
砂龙
黄色
深潜
地底
怪鸟
火
红鸟
老师
红速龙
猩红
红毒
深
奇猿狐
滑空
钩爪
假面
白兔兽
白色
滑溜溜
白兔
大雪主
旋转
回转
加速
毒怪鸟
狂乱
紫色
长跑健将
鬼蛙
刚力
肌肉
来战
岩穿
演员
歌舞伎
小害羞
大名盾蟹
背负
隐藏
大名
矛碎
要塞
防御
战国大名
赤甲兽
挑衅
红色
子弹
水兽
激流
女妖
水狮
夜鸟
皇冠
幻觉
魔术师
变形冰鲨
鲨鱼
鲛肌
好身材
白电
雷电
伏特
雷光
雌火龙
大地
公主
龙姬
雌火
黄金
明月
少女
紫毒姬
剧毒
紫罗兰
千金
潜口龙
大胃王
大吃大喝
潜伏
水龙
水
鱼
压力
雪狮子
狮子
冰
铁腕
熔岩龙
琥珀
岩浆
热血
将军镰蟹
利剑
挥砍
将军
绞蛇龙
狡猾
团团转
蟒蛇
迅龙
夜袭
音速
瞬杀
白疾风
手里剑
疾驰
忍者
黑狼鸟
黑狼
狼
孤傲
独眼
满身疮痍
眼光
男子汉勋章
爆锤龙
破坏
滚动
铁锤
宝缠
豪华
宝石
暴发户
重甲虫
航空母舰
信息素
母老虎
火龙
苍天
王子
王者
雄火
白银
灿日
飞龙
黑炎王
大王
黑暗
天帝
海龙
缠卷者
劲敌
王
雷狼龙
变身
爆裂
迅雷
金雷公
雷霆
变脸
金狼
泡狐龙
泡沫
妖狐
化妆
电龙
干架
填充
充电中
巨兽
山神
长毛怪
超弩级
斩龙
炎
剑士
猎刀人
烬灭刃
斩
燃烧
黑骑士
炎戈龙
火花
火神
炎狱
黑蚀龙
感染
病毒
狂龙
千刃龙
飞踢
刀片
龙卷风
尾锤龙
大回旋
全身
巨震
轰龙
绝对
狂野
轰虎
荒钩爪
裂地
掰手腕
冲击
麒麟
疾风
闪电
一闪
碎龙
细菌
黑曜石
飞机头
天廻龙
圣洁
旧闻
轮回
金狮子
BOSS
金色
鬼
恐暴龙
恶魔
毁灭者
暴君
钢龙
风雪
气旋
飞翔
霞龙
寂静
沉默
海市蜃楼
炎王龙
热浪
大帝
炎帝
霸龙
英雄
大亨
王道
崩龙
崩坏
钻头
奇迹
岚龙
轰天
永恒
破灭
骸龙
骨
骸
未确认
煌黑龙
飞龙
厄运
闭幕
暖呼呼
艾露猫
伙伴
随从
热血高校
武装战线
坊屋春道
第25届学生
刃牙
空手搏斗
侠客站姿
地上最强
生物
食人魔
格斗家
飙速宅男
爬坡型选手
总北
箱学
我来击溃你咯
僵僵僵
僵尸
不死之身
危险
老爷爷
邪
可乐可乐
潮
虎
兽矛
白面者
已经吃掉啦……
魔笛MAGI
迷宫
魔法
SunDay
妖精的尾巴
火龙王
灭龙魔导士
灭龙魔法
哈比
Magazine
抽卡
我的回合！
发动陷阱
盖牌
回合结束
JUMP
海盗
一伙
FAMI通
不会用C手。
大脑
推荐！
游戏
电击
媒体
作品
上为洪水
下为大火灾
阿楞
我靠金钱来驱动
环球
影城
日本环球影城
美妙
世界第一
逆转裁判
成步堂龙一
王泥喜法介
我有异议！
超时空要塞Δ
女武神
歌姬
时光之勇士
大师之剑
指挥棒
艾英
陆战之王
佣兵游击队
兄弟
冲刺
马力欧
1UP
超级
森林
Wild World
New Leaf
村民
比赛
三角之力
塞尔达
心之容器
传说
卢比
密特
罗德
生物
加强
行星
Dr.
不规则
X
E罐
经纪人
新部员
单独练习
集训
检定
CAPCOM TV！
链接
大师
希望
开辟者
自由自在
骑士
司令
帝国
极致
技术高超
风云人物
神
恐惧
闪光
书士队
王立学术院
古龙观测队
骑战者
勇气
恩怨
明星
龙
帝王
英勇
马刀
饮料
蛋
包子
友好
猎魂
怪猎
沙漠
密林
无人山岭
堡垒
要塞废墟
修雷德
猫妹妹
成功啦
派对
开拓者
挑战者
死党
氛围
追踪
一骑当千
盐味
生
污迹
家庭
顽固
五五开
牙
年轻人
射击
中年魅力
武勋
挥拳
华丽
紫外线
不原谅
第一
武装
腹黑
庞克
技术员
人生重来枪
疼痛
黏糊糊
高手
罐头
冷冻保存
被吃掉了
硬汉
无上境界
亿
厉害！
奔波命
特工
兴奋
颤栗
百万
魔神
安魂曲
叙事曲
精彩
大胆
武士
复仇者
双
大爆笑
背身不语
学生会长
总统
疲劳困倦
不灭
皇家
羞涩
混沌
永久缺席
天上天下
性感
出色
挥拳姿势
不败
全力
双重交叉
龙识船
调查队
飞行商船
观察
使命
加油
灵巧
接待员
个性
飞行
神迹
梦
好多
姐姐
标本
爱你
萌
头儿
空中战
暴徒
酒吧
自己
一等奖
放马过来
客人
醉汉
常客
大家
咱们
我们
奶茶
回忆
顶点
筋肉
谢谢
不放弃
全烤
清洁感
虫
城
梅尔西
喔！
甜点
大号巴菲
硬币
研究室
沉着冷静
热心工作
讲师
天才
岩龙
拳击
隐士
幼
铠龙
灼热
火焰
炮击
角龙
乱
荒漠
角
鏖魔
冲天怒发
无法控制
怒怒怒怒怒
老山龙
仙人
古代
弩级
黑龙
屠龙
龙骑
灭龙士
火神炮
龙骑士
逆鳞
龙王
根源
龙帝
祖龙
龙神
铠裂
剪刀
名刀
斩铁
桃毛兽
小丑
饿肚子
随意
白速龙
纯洁
雪花
白雪
冰牙龙
冰结
速度
零度
土砂龙
突击
独裁者
坚强
影蜘蛛
利剪
陷阱
黏黏
胧隐
幻影
隐形
戏法师
青电主
轻
电浆
叛逆
天眼
反击
多愁善感
光溜溜
银峰
登顶
猛犸
巨
天彗龙
神速
银翼
凶星
阁螳螂
高雅
蠢动
废墟
闹事
射手
蟹城壁
致死性
凶相
白影
山峰
不祥
夫妇
真正
轰击
狂炎
黎明
虹色
天华
反抗
世界最强峰
怒极
猛攻
猎鬼
猎神
海王
4000年
武
复活！
河内铁生
第六代
头目
WORST
名侦探
侦探
平成的福尔摩斯
银色子弹
黑衣
上班族
大哥
漂流武士
留下头来
十月机关
黑王
天下第一大将军
千人将
飞信队队长
呼啸
呵呵呵呵
念
第287期
幻影旅团
十二地支
V JUMP
最强JUMP
展览
重生！
过火了！
WOW！
懒蛋蛋
水煮蛋
好懒―
已烹调
Plasmagica
噗噜噗噜喵
心眼
启示录
逆转裁判
我有异议！
等一下！
律师
随从怪物
骑行
纳比尔
牵绊
怪物猎人物语
Spirits
三魂一体
友
身经百战
灵魂爆裂
MH Fan Club
前辈
晚辈
特训
狩猎频道
DENGEKI
雷电
闪电
美少女战士
水手月亮
代表月亮
惩罚你！
牙狼
黄金色
魔戒
法师
息
旷野
精力
希卡
克洛格
海拉鲁
@
@
六魔将军
黄道十二门
冥府之门
妖精女王
@
@
@
@
@
@
@
@
@
@
@
@
@
@
@
@
欢迎
宛如梦境
一气呵成
风神
亲卫队
香气
结婚
睡觉觉
吃饱了
接下吧！
主推
好帅
不会背叛
狩猎
捕获
讨伐
尾巴
惹人怜爱
乱入
卡蒂
无限
禁断
气势
炸鸡
一起
高级
喵喵
喵～哦
薄切生肉片
自尊
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
直接拥有
身处秘境5次
身处秘境10次
完成20次古代森林（白天）的任务
完成20次古代森林（夜晚）的任务
总共完成20次古代森林（白天）<BR/>或古代森林（夜晚）的任务
完成20次山林（白天）的任务
完成20次山林（夜晚）的任务
总共完成20次山林（白天）<BR/>或山林（夜晚）的任务
完成20次雪山（白天）的任务
完成20次雪山（夜晚）的任务
总共完成20次雪山（白天）<BR/>或雪山（夜晚）的任务
完成20次溪流（白天）的任务
完成20次溪流（夜晚）的任务
总共完成20次溪流（白天）<BR/>或溪流（夜晚）的任务
完成20次旧沙漠的任务
完成20次孤岛的任务
完成20次沼泽的任务
完成20次火山的任务
完成20次遗迹平原的任务
完成20次原生林的任务
完成20次冰海的任务
完成20次地底火山的任务
完成20次禁入区域的任务
完成20次塔之秘境的任务
完成20次灵峰的任务
完成20次熔岩岛的任务
完成20次极圈的任务
完成20次龙之坟场的任务
直接拥有
直接拥有
在可可特、波凯、结云、贝鲁纳村内<BR/>将噗吱猪或菲妮设置为宠物
在可可特村将噗吱猪<BR/>设置为宠物
在波凯村将噗吱猪<BR/>设置为宠物
在结云村将噗吱猪<BR/>设置为宠物
在贝鲁纳村将菲妮<BR/>设置为宠物
第一次参与猪仔竞技
从贝鲁纳村或随从广场的云羊鹿身上<BR/>获得10个道具
第一次和贝鲁纳村或随从广场的云羊鹿亲昵
第一次抚摸贝鲁纳村或随从广场的云羊鹿
狩猎了50头狞猛化怪物
雇用10只以上随从
雇用30只以上随从
雇用50只以上随从
以猎喵身份<BR/>完成了大量任务
以B级或更高评价<BR/>完成了斗技大会的大部分任务
